2025-05-20 05:54:08 | DEBUG | src.exchanges.bybit | 📡 Requesting price from Bybit for DOTPERP with params: {'category': 'linear', 'symbol': 'DOTPERP'}
2025-05-20 05:54:08 | DEBUG | src.exchanges.bybit | 📡 Raw price string from Bybit: 4.653 for symbol DOT/USDC
2025-05-20 05:54:08 | DEBUG | src.exchanges.bybit | 📥 Requesting Bybit balance for USDC
2025-05-20 05:54:08 | DEBUG | src.exchanges.bybit | 🚨 query_params keys: ['accountType']
2025-05-20 05:54:08 | DEBUG | src.exchanges.bybit | 🚨 query_params full: {'accountType': 'UNIFIED'}
2025-05-20 05:54:08 | DEBUG | src.exchanges.bybit | 🚨 Headers: {'X-BAPI-API-KEY': '4l0bdhpRUiaTaCHwLr', 'X-BAPI-SIGN': 'ff53c5f48ef2fc260af414cf16093cf27ee9afff258d64639babfd5dc22b1ed5', 'X-BAPI-TIMESTAMP': '1747720448265', 'X-BAPI-RECV-WINDOW': '5000', 'Content-Type': 'application/json'}
2025-05-20 05:54:08 | INFO | src.exchanges.bybit | ✅ Balance fetched for USDC: 0
2025-05-20 05:54:09 | DEBUG | src.exchanges.bybit | 📡 Requesting price from Bybit for ENAPERP with params: {'category': 'linear', 'symbol': 'ENAPERP'}
2025-05-20 05:54:09 | DEBUG | src.exchanges.bybit | 📡 Raw price string from Bybit: 0.3821 for symbol ENA/USDC
2025-05-20 05:54:09 | DEBUG | src.exchanges.bybit | 📥 Requesting Bybit balance for USDC
2025-05-20 05:54:09 | DEBUG | src.exchanges.bybit | 🚨 query_params keys: ['accountType']
2025-05-20 05:54:09 | DEBUG | src.exchanges.bybit | 🚨 query_params full: {'accountType': 'UNIFIED'}
2025-05-20 05:54:09 | DEBUG | src.exchanges.bybit | 🚨 Headers: {'X-BAPI-API-KEY': '4l0bdhpRUiaTaCHwLr', 'X-BAPI-SIGN': '5700709b8592a94d8883d084d0f95e2469e6e36ae6fd7cd1a76dcc87230206b5', 'X-BAPI-TIMESTAMP': '1747720449480', 'X-BAPI-RECV-WINDOW': '5000', 'Content-Type': 'application/json'}
2025-05-20 05:54:09 | INFO | src.exchanges.bybit | ✅ Balance fetched for USDC: 0
2025-05-20 05:54:10 | DEBUG | src.exchanges.bybit | 📡 Requesting price from Bybit for ETHPERP with params: {'category': 'linear', 'symbol': 'ETHPERP'}
2025-05-20 05:54:10 | DEBUG | src.exchanges.bybit | 📡 Raw price string from Bybit: 2562.99 for symbol ETH/USDC
2025-05-20 05:54:10 | DEBUG | src.exchanges.bybit | 📥 Requesting Bybit balance for USDC
2025-05-20 05:54:10 | DEBUG | src.exchanges.bybit | 🚨 query_params keys: ['accountType']
2025-05-20 05:54:10 | DEBUG | src.exchanges.bybit | 🚨 query_params full: {'accountType': 'UNIFIED'}
2025-05-20 05:54:10 | DEBUG | src.exchanges.bybit | 🚨 Headers: {'X-BAPI-API-KEY': '4l0bdhpRUiaTaCHwLr', 'X-BAPI-SIGN': '2f16e9ee0fdd3af8c99f28e57462db4e8e5725e7de057bc3f71ba671dc1bb4fe', 'X-BAPI-TIMESTAMP': '1747720450976', 'X-BAPI-RECV-WINDOW': '5000', 'Content-Type': 'application/json'}
2025-05-20 05:54:11 | INFO | src.exchanges.bybit | ✅ Balance fetched for USDC: 0
2025-05-20 05:54:11 | DEBUG | src.exchanges.bybit | 📡 Requesting price from Bybit for ETHFIPERP with params: {'category': 'linear', 'symbol': 'ETHFIPERP'}
2025-05-20 05:54:12 | DEBUG | src.exchanges.bybit | 📡 Raw price string from Bybit: 1.3268 for symbol ETHFI/USDC
2025-05-20 05:54:12 | DEBUG | src.exchanges.bybit | 📥 Requesting Bybit balance for USDC
2025-05-20 05:54:12 | DEBUG | src.exchanges.bybit | 🚨 query_params keys: ['accountType']
2025-05-20 05:54:12 | DEBUG | src.exchanges.bybit | 🚨 query_params full: {'accountType': 'UNIFIED'}
2025-05-20 05:54:12 | DEBUG | src.exchanges.bybit | 🚨 Headers: {'X-BAPI-API-KEY': '4l0bdhpRUiaTaCHwLr', 'X-BAPI-SIGN': '3b0ec800680be273ad60643126283c12aed4083f274f8712ff8f1572786e5564', 'X-BAPI-TIMESTAMP': '1747720452194', 'X-BAPI-RECV-WINDOW': '5000', 'Content-Type': 'application/json'}
2025-05-20 05:54:12 | INFO | src.exchanges.bybit | ✅ Balance fetched for USDC: 0
2025-05-20 05:54:13 | DEBUG | src.exchanges.bybit | 📡 Requesting price from Bybit for LINKPERP with params: {'category': 'linear', 'symbol': 'LINKPERP'}
2025-05-20 05:54:13 | DEBUG | src.exchanges.bybit | 📡 Raw price string from Bybit: 16.231 for symbol LINK/USDC
2025-05-20 05:54:13 | DEBUG | src.exchanges.bybit | 📥 Requesting Bybit balance for USDC
2025-05-20 05:54:13 | DEBUG | src.exchanges.bybit | 🚨 query_params keys: ['accountType']
2025-05-20 05:54:13 | DEBUG | src.exchanges.bybit | 🚨 query_params full: {'accountType': 'UNIFIED'}
2025-05-20 05:54:13 | DEBUG | src.exchanges.bybit | 🚨 Headers: {'X-BAPI-API-KEY': '4l0bdhpRUiaTaCHwLr', 'X-BAPI-SIGN': '5da30e2b4d9a8b38ae6bd926b3c30205d74be266d765a38a0f5a45ef703d2292', 'X-BAPI-TIMESTAMP': '1747720453379', 'X-BAPI-RECV-WINDOW': '5000', 'Content-Type': 'application/json'}
2025-05-20 05:54:13 | INFO | src.exchanges.bybit | ✅ Balance fetched for USDC: 0
2025-05-20 05:54:14 | DEBUG | src.exchanges.bybit | 📡 Requesting price from Bybit for LTCPERP with params: {'category': 'linear', 'symbol': 'LTCPERP'}
2025-05-20 05:54:14 | DEBUG | src.exchanges.bybit | 📡 Raw price string from Bybit: 97.84 for symbol LTC/USDC
2025-05-20 05:54:14 | DEBUG | src.exchanges.bybit | 📥 Requesting Bybit balance for USDC
2025-05-20 05:54:14 | DEBUG | src.exchanges.bybit | 🚨 query_params keys: ['accountType']
2025-05-20 05:54:14 | DEBUG | src.exchanges.bybit | 🚨 query_params full: {'accountType': 'UNIFIED'}
2025-05-20 05:54:14 | DEBUG | src.exchanges.bybit | 🚨 Headers: {'X-BAPI-API-KEY': '4l0bdhpRUiaTaCHwLr', 'X-BAPI-SIGN': '5047c197f36d515747b259070525f02829e23594066230d3c43736ff39437dc0', 'X-BAPI-TIMESTAMP': '1747720454601', 'X-BAPI-RECV-WINDOW': '5000', 'Content-Type': 'application/json'}
2025-05-20 05:54:14 | INFO | src.exchanges.bybit | ✅ Balance fetched for USDC: 0
2025-05-20 05:54:15 | DEBUG | src.exchanges.bybit | 📡 Requesting price from Bybit for NOTPERP with params: {'category': 'linear', 'symbol': 'NOTPERP'}
2025-05-20 05:54:15 | DEBUG | src.exchanges.bybit | 📡 Raw price string from Bybit: 0.002835 for symbol NOT/USDC
2025-05-20 05:54:15 | DEBUG | src.exchanges.bybit | 📥 Requesting Bybit balance for USDC
2025-05-20 05:54:15 | DEBUG | src.exchanges.bybit | 🚨 query_params keys: ['accountType']
2025-05-20 05:54:15 | DEBUG | src.exchanges.bybit | 🚨 query_params full: {'accountType': 'UNIFIED'}
2025-05-20 05:54:15 | DEBUG | src.exchanges.bybit | 🚨 Headers: {'X-BAPI-API-KEY': '4l0bdhpRUiaTaCHwLr', 'X-BAPI-SIGN': 'b8d3786528f5ced5872f9707ad80b7025001bc95c34eabd8c67fac21ffcb96bc', 'X-BAPI-TIMESTAMP': '1747720455787', 'X-BAPI-RECV-WINDOW': '5000', 'Content-Type': 'application/json'}
2025-05-20 05:54:15 | INFO | src.exchanges.bybit | ✅ Balance fetched for USDC: 0
2025-05-20 05:54:16 | DEBUG | src.exchanges.bybit | 📡 Requesting price from Bybit for ONDOPERP with params: {'category': 'linear', 'symbol': 'ONDOPERP'}
2025-05-20 05:54:16 | DEBUG | src.exchanges.bybit | 📡 Raw price string from Bybit: 0.9481 for symbol ONDO/USDC
2025-05-20 05:54:16 | DEBUG | src.exchanges.bybit | 📥 Requesting Bybit balance for USDC
2025-05-20 05:54:16 | DEBUG | src.exchanges.bybit | 🚨 query_params keys: ['accountType']
2025-05-20 05:54:16 | DEBUG | src.exchanges.bybit | 🚨 query_params full: {'accountType': 'UNIFIED'}
2025-05-20 05:54:16 | DEBUG | src.exchanges.bybit | 🚨 Headers: {'X-BAPI-API-KEY': '4l0bdhpRUiaTaCHwLr', 'X-BAPI-SIGN': '7d7538b3d3dd84e080d3faffe9e25bfe7fbfe501bd423ec783b47e8babdb54ce', 'X-BAPI-TIMESTAMP': '1747720456965', 'X-BAPI-RECV-WINDOW': '5000', 'Content-Type': 'application/json'}
2025-05-20 05:54:17 | INFO | src.exchanges.bybit | ✅ Balance fetched for USDC: 0
2025-05-20 05:54:17 | DEBUG | src.exchanges.bybit | 📡 Requesting price from Bybit for OPPERP with params: {'category': 'linear', 'symbol': 'OPPERP'}
2025-05-20 05:54:18 | DEBUG | src.exchanges.bybit | 📡 Raw price string from Bybit: 0.7262 for symbol OP/USDC
2025-05-20 05:54:18 | DEBUG | src.exchanges.bybit | 📥 Requesting Bybit balance for USDC
2025-05-20 05:54:18 | DEBUG | src.exchanges.bybit | 🚨 query_params keys: ['accountType']
2025-05-20 05:54:18 | DEBUG | src.exchanges.bybit | 🚨 query_params full: {'accountType': 'UNIFIED'}
2025-05-20 05:54:18 | DEBUG | src.exchanges.bybit | 🚨 Headers: {'X-BAPI-API-KEY': '4l0bdhpRUiaTaCHwLr', 'X-BAPI-SIGN': 'ad424a502d2f58ba92c6937d7fee34febc05d6cd15c0d6ccc634992527714eae', 'X-BAPI-TIMESTAMP': '1747720458148', 'X-BAPI-RECV-WINDOW': '5000', 'Content-Type': 'application/json'}
2025-05-20 05:54:18 | INFO | src.exchanges.bybit | ✅ Balance fetched for USDC: 0
2025-05-20 05:54:19 | DEBUG | src.exchanges.bybit | 📡 Requesting price from Bybit for ORDIPERP with params: {'category': 'linear', 'symbol': 'ORDIPERP'}
2025-05-20 05:54:19 | DEBUG | src.exchanges.bybit | 📡 Raw price string from Bybit: 9.716 for symbol ORDI/USDC
2025-05-20 05:54:19 | DEBUG | src.exchanges.bybit | 📥 Requesting Bybit balance for USDC
2025-05-20 05:54:19 | DEBUG | src.exchanges.bybit | 🚨 query_params keys: ['accountType']
2025-05-20 05:54:19 | DEBUG | src.exchanges.bybit | 🚨 query_params full: {'accountType': 'UNIFIED'}
2025-05-20 05:54:19 | DEBUG | src.exchanges.bybit | 🚨 Headers: {'X-BAPI-API-KEY': '4l0bdhpRUiaTaCHwLr', 'X-BAPI-SIGN': '5d44fcabb53c6ebb9a519773dd52e4257716735e99f5902d2a243c691d8d49c7', 'X-BAPI-TIMESTAMP': '1747720459646', 'X-BAPI-RECV-WINDOW': '5000', 'Content-Type': 'application/json'}
2025-05-20 05:54:19 | INFO | src.exchanges.bybit | ✅ Balance fetched for USDC: 0
2025-05-20 05:54:20 | DEBUG | src.exchanges.bybit | 📡 Requesting price from Bybit for POLPERP with params: {'category': 'linear', 'symbol': 'POLPERP'}
2025-05-20 05:54:20 | DEBUG | src.exchanges.bybit | 📡 Raw price string from Bybit: 0.2355 for symbol POL/USDC
2025-05-20 05:54:20 | DEBUG | src.exchanges.bybit | 📥 Requesting Bybit balance for USDC
2025-05-20 05:54:20 | DEBUG | src.exchanges.bybit | 🚨 query_params keys: ['accountType']
2025-05-20 05:54:20 | DEBUG | src.exchanges.bybit | 🚨 query_params full: {'accountType': 'UNIFIED'}
2025-05-20 05:54:20 | DEBUG | src.exchanges.bybit | 🚨 Headers: {'X-BAPI-API-KEY': '4l0bdhpRUiaTaCHwLr', 'X-BAPI-SIGN': '374ebe9f94a964b7975cfad6cff473bf9d7d348a0783d0a8059e5d701781b0f7', 'X-BAPI-TIMESTAMP': '1747720460923', 'X-BAPI-RECV-WINDOW': '5000', 'Content-Type': 'application/json'}
2025-05-20 05:54:21 | INFO | src.exchanges.bybit | ✅ Balance fetched for USDC: 0
